feature,importance
cp_4.0,0.09406498632741633
thalach,0.09332639524143123
ca_0.0,0.08794644638146043
oldpeak,0.08390978441748481
thal_3.0,0.08233069621958085
age,0.07290077589051315
chol,0.06543406126853928
trestbps,0.062308317966985494
thal_7.0,0.05581417155761977
exang_1.0,0.040256765026737855
exang_0.0,0.035896021563020034
slope_1.0,0.030075207818058846
slope_2.0,0.026546606733281908
sex_1.0,0.021038061525693565
cp_3.0,0.020954721793625654
sex_0.0,0.01894200976010072
ca_1.0,0.01809449219444423
restecg_2.0,0.013889616072582784
restecg_0.0,0.013588714168157698
ca_2.0,0.01200803606192664
cp_1.0,0.009270378856005712
cp_2.0,0.008764195169901404
ca_3.0,0.00851895233535311
fbs_0.0,0.008481825878568775
fbs_1.0,0.007418724103214099
slope_3.0,0.004081781689270472
thal_6.0,0.0035363517091813986
restecg_1.0,0.0006019022698436977
